,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location
0,Toyota,Corolla,2015,0,"C45-Express,, ",0,0.0,0.0,4750000,Foreign used
1,Mercedes-Benz,GLC,2019,0,"C45-Express,, ",0,0.0,0.0,20000000,Foreign used
2,Mercedes-Benz,Ml350,2014,0,"C45-Express,, ",0,0.0,0.0,15200000,Foreign used
3,Mercedes-Benz,C300,2015,93916,"C45, Lagos",Automatic,Registered,BLACK,10090000,Nigerian used
4,Mitsubishi,Outlander,2017,0,"C45-Express,, ",0,0.0,0.0,13500000,Foreign used
5,Lexus,GX460,2016,0,"C45-Express,, ",0,0.0,0.0,18000000,Foreign used
6,Mercedes-Benz,GLE450,2016,0,"C45-Express,, ",0,0.0,0.0,40000000,Foreign used
7,Lexus,IS250,2017,0,"C45-Express,, ",0,0.0,0.0,9000000,Foreign used
8,JAC,S7,2019,35403,"C45, Lagos",Automatic,Registered,BLACK,7850000,Nigerian used
9,Toyota,Camry,2003,187524,"C45, Onitsha",Automatic,Registered,0,2250000,Nigerian used
10,Mercedes-Benz,CLA,2016,1,"C45, Lagos",Automatic,Registered,BLACK,7066000,Nigerian used
11,Lexus,Is,2007,228060,"C45, Ibadan",Automatic,Registered,0,2586000,Nigerian used
12,Toyota,Yaris,2011,143865,"C45, Lagos",Automatic,Registered,0,1354000,Nigerian used
13,Toyota,Yaris,2012,82607,"C45, Lagos",Automatic,Registered,SILVER,962000,Nigerian used
14,Honda,Accord,2008,188903,"C45, Lagos",Automatic,Registered,0,1466000,Nigerian used
15,Toyota,Matrix,2009,268927,"C45, Lagos",Automatic,Registered,BLUE,2810000,Nigerian used
16,Mercedes-Benz,GLK,2010,85953,"C45, Abuja",Automatic,Imported,Black,6170000,Foreign used
17,Hyundai,Sonata,2013,160757,"C45, Ibadan",Automatic,Registered,BLACK,3370000,Nigerian used
18,Toyota,Matrix,2009,179439,"C45, Lagos",Automatic,Imported,0,2922000,Foreign used
19,Mercedes-Benz,Clk350,2006,154140,"C45, Abuja",Automatic,Imported,Grey,3370000,Foreign used
20,Honda,Civic,2003,186778,"C45, Lagos",Automatic,Registered,0,626000,Nigerian used
21,Toyota,Corolla,2010,208829,"C45, Lagos",Automatic,Registered,grey,3370000,Nigerian used
22,Lexus,Gs,2002,190049,"C45, ",Automatic,Registered,SILVER,738000,Nigerian used
23,Toyota,Corolla,2009,65506,"C45, Kaduna",Automatic,Registered,GREY,2138000,Nigerian used
24,Toyota,Rav4,2006,153444,"C45, Lagos",Automatic,Registered,Blue,2362000,Nigerian used
25,Volkswagen,Golf,1998,197282,"C45, Ilorin",Automatic,Registered,0,906000,Nigerian used
26,Lexus,Rx,2001,146108,"C45, Lagos",Automatic,Registered,GOLD,1690000,Nigerian used
27,Toyota,Corolla,2007,177689,"C45, ",Automatic,Registered,White,2082000,Nigerian used
28,Ford,Escape,2001,206219,"C45, Lagos",Automatic,Registered,RED,962000,Nigerian used
29,Toyota,Avalon,2013,71660,"C45, Abuja",Automatic,Imported,Brown,6730000,Foreign used
30,Kia,Sorento,2005,244658,"C45, Port",Automatic,Registered,Green,1074000,Nigerian used
31,Mercedes-Benz,Ml500,2006,95172,"C45, Lagos",Automatic,Registered,SILVER,2474000,Nigerian used
32,Lexus,Rx,2002,0,"C45, Port",Automatic,Registered,GREY,1578000,Nigerian used
