,Unnamed: 0,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location,MPG
0,0,Toyota,Corolla,2015.0,0.0,"C45-Express,, ",0,0.0,0.0,4750000,Foreign used,34
1,1,Mercedes-Benz,GLC,2019.0,0.0,"C45-Express,, ",0,0.0,0.0,20000000,Foreign used,24
2,2,Mercedes-Benz,Ml350,2014.0,0.0,"C45-Express,, ",0,0.0,0.0,15200000,Foreign used,20
3,3,Mercedes-Benz,C300,2015.0,93916.0,"C45, Lagos",Automatic,Registered,BLACK,10090000,Nigerian used,27
4,4,Mitsubishi,Outlander,2017.0,0.0,"C45-Express,, ",0,0.0,0.0,13500000,Foreign used,26
5,5,Lexus,GX460,2016.0,0.0,"C45-Express,, ",0,0.0,0.0,18000000,Foreign used,0
6,6,Mercedes-Benz,GLE450,2016.0,0.0,"C45-Express,, ",0,0.0,0.0,40000000,Foreign used,23
7,7,Lexus,IS250,2017.0,0.0,"C45-Express,, ",0,0.0,0.0,9000000,Foreign used,23
8,8,JAC,S7,2019.0,35403.0,"C45, Lagos",Automatic,Registered,BLACK,7850000,Nigerian used,0
9,9,Toyota,Camry,2003.0,187524.0,"C45, Onitsha",Automatic,Registered,0,2250000,Nigerian used,26
10,10,Mercedes-Benz,CLA,2016.0,1.0,"C45, Lagos",Automatic,Registered,BLACK,7066000,Nigerian used,0
11,11,Lexus,Is,2007.0,228060.0,"C45, Ibadan",Automatic,Registered,0,2586000,Nigerian used,0
12,12,Toyota,Yaris,2011.0,143865.0,"C45, Lagos",Automatic,Registered,0,1354000,Nigerian used,0
13,13,Toyota,Yaris,2012.0,82607.0,"C45, Lagos",Automatic,Registered,SILVER,962000,Nigerian used,0
14,14,Honda,Accord,2008.0,188903.0,"C45, Lagos",Automatic,Registered,0,1466000,Nigerian used,48
15,15,Toyota,Matrix,2009.0,268927.0,"C45, Lagos",Automatic,Registered,BLUE,2810000,Nigerian used,22
16,16,Mercedes-Benz,GLK,2010.0,85953.0,"C45, Abuja",Automatic,Imported,Black,6170000,Foreign used,0
17,17,Hyundai,Sonata,2013.0,160757.0,"C45, Ibadan",Automatic,Registered,BLACK,3370000,Nigerian used,47
18,18,Toyota,Matrix,2009.0,179439.0,"C45, Lagos",Automatic,Imported,0,2922000,Foreign used,22
19,19,Mercedes-Benz,Clk350,2006.0,154140.0,"C45, Abuja",Automatic,Imported,Grey,3370000,Foreign used,20
20,20,Honda,Civic,2003.0,186778.0,"C45, Lagos",Automatic,Registered,0,626000,Nigerian used,44
21,21,Toyota,Corolla,2010.0,208829.0,"C45, Lagos",Automatic,Registered,grey,3370000,Nigerian used,34
22,22,Lexus,Gs,2002.0,190049.0,"C45, ",Automatic,Registered,SILVER,738000,Nigerian used,19
23,23,Toyota,Corolla,2009.0,65506.0,"C45, Kaduna",Automatic,Registered,GREY,2138000,Nigerian used,34
24,24,Toyota,Rav4,2006.0,153444.0,"C45, Lagos",Automatic,Registered,Blue,2362000,Nigerian used,30
25,25,Volkswagen,Golf,1998.0,197282.0,"C45, Ilorin",Automatic,Registered,0,906000,Nigerian used,26
26,26,Lexus,Rx,2001.0,146108.0,"C45, Lagos",Automatic,Registered,GOLD,1690000,Nigerian used,23
27,27,Toyota,Corolla,2007.0,177689.0,"C45, ",Automatic,Registered,White,2082000,Nigerian used,34
28,28,Ford,Escape,2001.0,206219.0,"C45, Lagos",Automatic,Registered,RED,962000,Nigerian used,30
29,29,Toyota,Avalon,2013.0,71660.0,"C45, Abuja",Automatic,Imported,Brown,6730000,Foreign used,26
30,30,Kia,Sorento,2005.0,244658.0,"C45, Port",Automatic,Registered,Green,1074000,Nigerian used,37
31,31,Mercedes-Benz,Ml500,2006.0,95172.0,"C45, Lagos",Automatic,Registered,SILVER,2474000,Nigerian used,14
32,32,Lexus,Rx,2002.0,0.0,"C45, Port",Automatic,Registered,GREY,1578000,Nigerian used,23
33,33,Honda,Civic,2006.0,173776.0,"C45, Lagos",Automatic,Registered,BLUE,1354000,Nigerian used,44
34,34,Ford,Edge,2007.0,187101.0,"C45, Lagos",Automatic,Registered,ORANGE,2026000,Nigerian used,24
35,35,Toyota,Rav4,2004.0,247180.0,"C45, Abuja",Automatic,Registered,0,1690000,Nigerian used,30
36,36,Mercedes-Benz,C230,2006.0,157962.0,"C45, ",Automatic,Registered,White,1634000,Nigerian used,23
37,37,Hyundai,Sonata,2006.0,287757.0,"C45, Abuja",Automatic,Registered,RED,794000,Nigerian used,47
38,38,Toyota,Camry,2007.0,232664.0,"C45, Ibadan",Automatic,Registered,0,2306000,Nigerian used,26
39,39,Volvo,Xc90,2004.0,159388.0,"C45, Ilorin",Automatic,Registered,0,962000,Nigerian used,25
40,40,Toyota,Rav4,2012.0,48045.0,"C45, Lagos",Automatic,Registered,BLUE,2810000,Nigerian used,30
41,41,Toyota,Sienna,2004.0,216198.0,"C45, Lagos",Semiautomatic,Imported,0,2250000,Foreign used,20
42,42,Toyota,Corolla,2006.0,131996.0,"C45, Lagos",Automatic,Registered,0,1690000,Nigerian used,34
43,43,Acura,Mdx,2007.0,86304.0,"C45, Lagos",Automatic,Imported,GREY,5274000,Foreign used,22
44,44,Acura,Tl,1999.0,0.0,"C45, Port",Automatic,Registered,Silver,570000,Nigerian used,23
45,45,Pontiac,Vibe,2005.0,101160.0,"C45, Abuja",Automatic,Imported,black,2362000,Foreign used,22
46,46,Toyota,Camry,2013.0,88005.0,"C45, Lagos",Automatic,Registered,0,3370000,Nigerian used,26
47,47,Mitsubishi,Montero,2003.0,156455.0,"C45, Abuja",Automatic,Registered,SILVER,1130000,Nigerian used,15
48,48,Peugeot,406,2008.0,999999.0,"C45, Lagos",Manual,Registered,SILVER,1242000,Nigerian used,0
